payment_id,student_id,term_id,amount_required,amount_paid,balance,payment_status,last_payment_date
2cd555b2-f948-4f49-b960-312e3866d289,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,04f0b3fe-80c2-4d2d-9edc-2d7d63fe8bfc,15000.0,10654.37,4345.63,paid,2023-02-07
0bc80b5b-0f06-4660-90bd-686aee1d4a61,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,0973de7f-2453-445c-b301-5b342cffee1e,15000.0,13301.15,1698.85,partial,2023-05-27
abb05808-9889-4859-aab7-3eaf05e1e95b,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,813bb2a0-b305-42bd-9779-cc36fa0c5c7a,15000.0,13087.76,1912.24,paid,2023-10-04
a921e907-1e08-46d3-93a1-e630f378e372,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,3a70bf49-bac3-4616-b371-42aa9fad103a,15000.0,12314.75,2685.25,paid,2024-01-30
3f849c22-50f4-4642-87d7-e3bb406d48f8,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,8e397040-2590-4180-8ef2-878cf84ea9e2,15000.0,11184.49,3815.51,paid,2024-05-26
a78fe159-5a9d-4d7c-a15d-c0c869e78781,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,a1841516-9d5f-4bb5-903b-88e07826faa1,15000.0,13324.79,1675.21,paid,2024-09-24
075d4a33-53f8-4338-b891-9bfb61bc302a,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,7407afdd-507f-4ac2-a8da-b3932b0bd714,15000.0,9468.05,5531.95,partial,2025-01-22
6f8df7b7-26ca-4bcb-a57a-2f41bbeee4d9,a654b3c4-50e2-4e6f-a5ae-6a29204f3853,55c4c8c4-96a6-46c6-b369-0c84049769a8,15000.0,9054.47,5945.53,partial,2025-05-25
725482c4-9de5-410b-8823-6791957e8384,7419ed6c-b885-4696-beaf-107ba46d6ff6,04f0b3fe-80c2-4d2d-9edc-2d7d63fe8bfc,15000.0,9582.06,5417.94,unpaid,2023-02-05
d27ab841-87fe-47c0-bcde-f3b11361267d,7419ed6c-b885-4696-beaf-107ba46d6ff6,0973de7f-2453-445c-b301-5b342cffee1e,15000.0,8429.67,6570.33,unpaid,2023-05-12
c7893427-b4b5-449f-a54d-d1f26dec609c,7419ed6c-b885-4696-beaf-107ba46d6ff6,813bb2a0-b305-42bd-9779-cc36fa0c5c7a,15000.0,9799.36,5200.64,partial,2023-09-23
2f7c4fda-d4a4-4e0f-ab17-39cded051065,7419ed6c-b885-4696-beaf-107ba46d6ff6,3a70bf49-bac3-4616-b371-42aa9fad103a,15000.0,8673.26,6326.74,partial,2024-02-01
68e08786-e134-44cc-b0c3-2884a334ba06,7419ed6c-b885-4696-beaf-107ba46d6ff6,8e397040-2590-4180-8ef2-878cf84ea9e2,15000.0,5524.63,9475.37,partial,2024-05-30
26812794-529b-4f93-98d4-0d8090e4c358,7419ed6c-b885-4696-beaf-107ba46d6ff6,a1841516-9d5f-4bb5-903b-88e07826faa1,15000.0,5293.2,9706.8,unpaid,2024-09-08
cb0f32c5-2ade-4131-bbcb-82de30067ef3,7419ed6c-b885-4696-beaf-107ba46d6ff6,7407afdd-507f-4ac2-a8da-b3932b0bd714,15000.0,10293.58,4706.42,partial,2025-01-07
207da555-5344-42fe-8bba-b035d772248f,7419ed6c-b885-4696-beaf-107ba46d6ff6,55c4c8c4-96a6-46c6-b369-0c84049769a8,15000.0,9758.83,5241.17,partial,2025-06-02
10250095-c416-49f6-b7bb-5400a554eda4,c6488898-8dcf-44fc-8838-274f632d8bc8,04f0b3fe-80c2-4d2d-9edc-2d7d63fe8bfc,15000.0,14232.57,767.43,partial,2023-02-04
78a99323-247c-4876-8be6-736ce99b9a0d,c6488898-8dcf-44fc-8838-274f632d8bc8,0973de7f-2453-445c-b301-5b342cffee1e,15000.0,12881.59,2118.41,partial,2023-05-15
92bd476d-2765-4db1-bf01-d7f1e5668348,c6488898-8dcf-44fc-8838-274f632d8bc8,813bb2a0-b305-42bd-9779-cc36fa0c5c7a,15000.0,14660.94,339.06,paid,2023-10-01
d6e7988d-598f-4db2-a3d7-cbb04957af25,c6488898-8dcf-44fc-8838-274f632d8bc8,3a70bf49-bac3-4616-b371-42aa9fad103a,15000.0,14930.43,69.57,paid,2024-02-03
719db321-71f1-4e13-ac8d-cceffc3056af,c6488898-8dcf-44fc-8838-274f632d8bc8,8e397040-2590-4180-8ef2-878cf84ea9e2,15000.0,14911.36,88.64,paid,2024-05-11
ae489ab3-971b-4794-8c56-02dcf30861f2,c6488898-8dcf-44fc-8838-274f632d8bc8,a1841516-9d5f-4bb5-903b-88e07826faa1,15000.0,12940.3,2059.7,partial,2024-09-11
44d4403f-13c1-444d-b40c-1a380b5ac79a,c6488898-8dcf-44fc-8838-274f632d8bc8,7407afdd-507f-4ac2-a8da-b3932b0bd714,15000.0,14797.54,202.46,paid,2025-01-10
95140873-2438-4d37-afa0-1334b123462b,c6488898-8dcf-44fc-8838-274f632d8bc8,55c4c8c4-96a6-46c6-b369-0c84049769a8,15000.0,13029.3,1970.7,partial,2025-06-04
85477cc5-1e52-484e-acf9-ea3fb3b2e3c1,899f4302-6616-44ef-9bcc-e554ef6b2f9e,04f0b3fe-80c2-4d2d-9edc-2d7d63fe8bfc,15000.0,13205.88,1794.12,partial,2023-01-16
